# FONLL heavy quark hadroproduction cross section, calculated on Fri Aug 22 16:33:26 CEST 2025
# FONLL version and perturbative order: ## FONLL v1.3.4 fonll [ds/dpt^2dy (pb/GeV^2)]
# quark = bottom
# final state = meson. NP params (cm,lm,hm) = 24.2, 26.7, 22.2
# BR(q->meson) = 0.405
# ebeam1 = 6500, ebeam2 = 6500
# PDF set = NNPDF30_nlo_as_0118
# ptmin = 0.5
# ptmax = 1
# ymin  = 2.0
# ymax  = 2.5
# Uncertainties from scales, masses, PDFs combined quadratically
# cross section is sigma (pb)
ptmin ptmax central min max min_sc max_sc min_mass max_mass min_pdf max_pdf fr=.5.5 fr=22 fr=21 fr=12 fr=1.5 fr=.51
0.0000 0.5000 1.1430e+05 5.2426e+04 1.7978e+05 5.6730e+04 1.7330e+05 9.3240e+04 1.4140e+05 1.0590e+05 1.2280e+05 9.6740e+04 1.1980e+05 1.5390e+05 8.1950e+04 1.7330e+05 5.6730e+04
0.5000 1.0000 3.2020e+05 1.5036e+05 4.9603e+05 1.6230e+05 4.7790e+05 2.6210e+05 3.9440e+05 2.9700e+05 3.4350e+05 2.7470e+05 3.3480e+05 4.2350e+05 2.3170e+05 4.7790e+05 1.6230e+05
1.0000 1.5000 4.8360e+05 2.3353e+05 7.3656e+05 2.5100e+05 7.0990e+05 3.9830e+05 5.9140e+05 4.4960e+05 5.1760e+05 4.2030e+05 5.0510e+05 6.3040e+05 3.5330e+05 7.0990e+05 2.5100e+05
1.5000 2.0000 5.9670e+05 2.9748e+05 8.9401e+05 3.1810e+05 8.6260e+05 4.9510e+05 7.2360e+05 5.5680e+05 6.3650e+05 5.2610e+05 6.2200e+05 7.6860e+05 4.3990e+05 8.6260e+05 3.1810e+05
2.0000 2.5000 6.6200e+05 3.4115e+05 9.7979e+05 3.6280e+05 9.4710e+05 5.5370e+05 7.9620e+05 6.2080e+05 7.0320e+05 5.9270e+05 6.8770e+05 8.4620e+05 4.9130e+05 9.4710e+05 3.6280e+05
2.5000 3.0000 6.8690e+05 3.6552e+05 1.0089e+06 3.8670e+05 9.7780e+05 5.7910e+05 8.1920e+05 6.4760e+05 7.2630e+05 6.2500e+05 7.0940e+05 8.7460e+05 5.1160e+05 9.7780e+05 3.8670e+05
3.0000 3.5000 6.8000e+05 3.7318e+05 9.9461e+05 3.9290e+05 9.6700e+05 5.7780e+05 8.0390e+05 6.4440e+05 7.1550e+05 6.2920e+05 6.9670e+05 8.6410e+05 5.0690e+05 9.6700e+05 3.9290e+05
3.5000 4.0000 6.4970e+05 3.6742e+05 9.4837e+05 3.8500e+05 9.2500e+05 5.5670e+05 7.6130e+05 6.1860e+05 6.8070e+05 6.1150e+05 6.5970e+05 8.2450e+05 4.8410e+05 9.2500e+05 3.8500e+05
4.0000 4.5000 6.0410e+05 3.5167e+05 8.8085e+05 3.6690e+05 8.6180e+05 5.2190e+05 7.0150e+05 5.7760e+05 6.3050e+05 5.7850e+05 6.0760e+05 7.6530e+05 4.4970e+05 8.6180e+05 3.6690e+05
4.5000 5.0000 5.5010e+05 3.2932e+05 8.0118e+05 3.4220e+05 7.8600e+05 4.7920e+05 6.3320e+05 5.2790e+05 5.7220e+05 5.3590e+05 5.4800e+05 6.9500e+05 4.0920e+05 7.8600e+05 3.4220e+05
5.0000 5.5000 4.9310e+05 3.0316e+05 7.1705e+05 3.1390e+05 7.0510e+05 4.3290e+05 5.6290e+05 4.7460e+05 5.1150e+05 4.8830e+05 4.8670e+05 6.2080e+05 3.6660e+05 7.0510e+05 3.1390e+05
