

# FONLL heavy quark hadroproduction cross section, calculated on Fri Aug 22 16:33:27 CEST 2025
# FONLL version and perturbative order: ## FONLL v1.3.4 fonll [ds/dpt^2dy (pb/GeV^2)]
# quark = bottom
# final state = meson. NP params (cm,lm,hm) = 24.2, 26.7, 22.2
# BR(q->meson) = 0.405
# ebeam1 = 6500, ebeam2 = 6500
# PDF set = NNPDF30_nlo_as_0118
# ptmin = 0
# ptmax = 0.5
# ymin  = 2.5
# ymax  = 3.0
# Uncertainties from scales, masses, PDFs combined quadratically
# cross section is sigma (pb)
ptmin ptmax central min max min_sc max_sc min_mass max_mass min_pdf max_pdf fr=.5.5 fr=22 fr=21 fr=12 fr=1.5 fr=.51
0.0000 0.5000 1.0740e+05 5.0571e+04 1.7008e+05 5.5660e+04 1.6310e+05 8.7070e+04 1.3360e+05 9.5600e+04 1.1920e+05 9.4480e+04 1.1060e+05 1.4280e+05 7.6880e+04 1.6310e+05 5.5660e+04
0.5000 1.0000 3.0040e+05 1.4474e+05 4.6881e+05 1.5880e+05 4.4930e+05 2.4440e+05 3.7220e+05 2.6810e+05 3.3260e+05 2.6740e+05 3.0890e+05 3.9300e+05 2.1700e+05 4.4930e+05 1.5880e+05
1.0000 1.5000 4.5250e+05 2.2406e+05 6.9436e+05 2.4440e+05 6.6580e+05 3.7060e+05 5.5660e+05 4.0590e+05 4.9900e+05 4.0730e+05 4.6510e+05 5.8410e+05 3.3020e+05 6.6580e+05 2.4440e+05
1.5000 2.0000 5.5610e+05 2.8417e+05 8.3929e+05 3.0770e+05 8.0600e+05 4.5920e+05 6.7820e+05 5.0270e+05 6.0940e+05 5.0670e+05 5.7110e+05 7.1000e+05 4.0950e+05 8.0600e+05 3.0770e+05
2.0000 2.5000 6.1390e+05 3.2397e+05 9.1429e+05 3.4820e+05 8.8030e+05 5.1110e+05 7.4190e+05 5.6010e+05 6.6760e+05 5.6660e+05 6.2870e+05 7.7810e+05 4.5500e+05 8.8030e+05 3.4820e+05
2.5000 3.0000 6.3320e+05 3.4474e+05 9.3481e+05 3.6780e+05 9.0310e+05 5.3170e+05 7.5830e+05 5.8350e+05 6.8290e+05 5.9250e+05 6.4520e+05 7.9950e+05 4.7100e+05 9.0310e+05 3.6780e+05
3.0000 3.5000 6.2270e+05 3.4942e+05 9.1449e+05 3.7030e+05 8.8690e+05 5.2730e+05 7.3870e+05 5.7940e+05 6.6610e+05 5.9120e+05 6.3000e+05 7.8480e+05 4.6370e+05 8.8690e+05 3.7030e+05
3.5000 4.0000 5.9090e+05 3.4146e+05 8.6545e+05 3.5960e+05 8.4250e+05 5.0490e+05 6.9450e+05 5.5450e+05 6.2750e+05 5.6960e+05 5.9290e+05 7.4370e+05 4.4000e+05 8.4250e+05 3.5960e+05
4.0000 4.5000 5.4580e+05 3.2430e+05 7.9780e+05 3.3970e+05 7.7940e+05 4.7040e+05 6.3540e+05 5.1580e+05 5.7590e+05 5.3440e+05 5.4270e+05 6.8570e+05 4.0610e+05 7.7940e+05 3.3970e+05
4.5000 5.0000 4.9380e+05 3.0138e+05 7.2058e+05 3.1420e+05 7.0610e+05 4.2920e+05 5.6970e+05 4.6940e+05 5.1820e+05 4.9100e+05 4.8650e+05 6.1870e+05 3.6710e+05 7.0610e+05 3.1420e+05
5.0000 5.5000 4.3990e+05 2.7547e+05 6.4067e+05 2.8600e+05 6.2940e+05 3.8550e+05 5.0320e+05 4.2010e+05 4.5970e+05 4.4410e+05 4.2960e+05 5.4920e+05 3.2700e+05 6.2940e+05 2.8600e+05
5.5000 6.0000 3.8750e+05 2.4872e+05 5.6290e+05 2.5730e+05 5.5420e+05 3.4220e+05 4.3970e+05 3.7150e+05 4.0340e+05 3.9690e+05 3.7520e+05 4.8170e+05 2.8810e+05 5.5420e+05 2.5730e+05
6.0000 6.5000 3.3860e+05 2.2233e+05 4.9046e+05 2.2930e+05 4.8370e+05 3.0110e+05 3.8150e+05 3.2570e+05 3.5150e+05 3.5140e+05 3.2540e+05 4.1880e+05 2.5200e+05 4.8370e+05 2.2930e+05
6.5000 7.0000 2.9440e+05 1.9707e+05 4.2491e+05 2.0270e+05 4.1970e+05 2.6350e+05 3.2940e+05 2.8390e+05 3.0480e+05 3.0870e+05 2.8090e+05 3.6220e+05 2.1930e+05 4.1970e+05 2.0270e+05
7.0000 7.5000 2.5510e+05 1.7392e+05 3.6666e+05 1.7850e+05 3.6260e+05 2.2960e+05 2.8370e+05 2.4660e+05 2.6360e+05 2.7000e+05 2.4180e+05 3.1210e+05 1.9040e+05 3.6260e+05 1.7850e+05
7.5000 8.0000 2.2070e+05 1.5374e+05 3.1588e+05 1.5750e+05 3.1270e+05 1.9970e+05 2.4410e+05 2.1370e+05 2.2760e+05 2.3650e+05 2.0800e+05 2.6840e+05 1.6510e+05 3.1270e+05 1.5750e+05
