

# FONLL heavy quark hadroproduction cross section, calculated on Fri Aug 22 16:33:26 CEST 2025
# FONLL version and perturbative order: ## FONLL v1.3.4 fonll [ds/dpt^2dy (pb/GeV^2)]
# quark = bottom
# final state = meson. NP params (cm,lm,hm) = 24.2, 26.7, 22.2
# BR(q->meson) = 0.405
# ebeam1 = 6500, ebeam2 = 6500
# PDF set = NNPDF30_nlo_as_0118
# ptmin = 0.5
# ptmax = 1
# ymin  = 3.0
# ymax  = 3.5
# Uncertainties from scales, masses, PDFs combined quadratically
# cross section is sigma (pb)
ptmin ptmax central min max min_sc max_sc min_mass max_mass min_pdf max_pdf fr=.5.5 fr=22 fr=21 fr=12 fr=1.5 fr=.51
0.0000 0.5000 9.8550e+04 4.6804e+04 1.5816e+05 5.3540e+04 1.5000e+05 7.9370e+04 1.2350e+05 8.1700e+04 1.1540e+05 9.0410e+04 9.9500e+04 1.2930e+05 7.0470e+04 1.5000e+05 5.3540e+04
0.5000 1.0000 2.7520e+05 1.3373e+05 4.3523e+05 1.5220e+05 4.1250e+05 2.2250e+05 3.4340e+05 2.2930e+05 3.2110e+05 2.5490e+05 2.7760e+05 3.5550e+05 1.9860e+05 4.1250e+05 1.5220e+05
1.0000 1.5000 4.1340e+05 2.0656e+05 6.4274e+05 2.3320e+05 6.0960e+05 3.3640e+05 5.1200e+05 3.4720e+05 4.7960e+05 3.8640e+05 4.1710e+05 5.2750e+05 3.0120e+05 6.0960e+05 2.3320e+05
1.5000 2.0000 5.0590e+05 2.6130e+05 7.7311e+05 2.9180e+05 7.3490e+05 4.1510e+05 6.2080e+05 4.3010e+05 5.8180e+05 4.7760e+05 5.1020e+05 6.3890e+05 3.7200e+05 7.3490e+05 2.9180e+05
2.0000 2.5000 5.5510e+05 2.9687e+05 8.3609e+05 3.2740e+05 7.9780e+05 4.5960e+05 6.7470e+05 4.7950e+05 6.3090e+05 5.2990e+05 5.5870e+05 6.9640e+05 4.1090e+05 7.9780e+05 3.2740e+05
2.5000 3.0000 5.6840e+05 3.1456e+05 8.4702e+05 3.4260e+05 8.1240e+05 4.7490e+05 6.8410e+05 4.9980e+05 6.3700e+05 5.4900e+05 5.6950e+05 7.1040e+05 4.2230e+05 8.1240e+05 3.4260e+05
3.0000 3.5000 5.5440e+05 3.1697e+05 8.2019e+05 3.4130e+05 7.9100e+05 4.6750e+05 6.6060e+05 4.9600e+05 6.1260e+05 5.4220e+05 5.5200e+05 6.9150e+05 4.1240e+05 7.9100e+05 3.4130e+05
3.5000 4.0000 5.2160e+05 3.0753e+05 7.6821e+05 3.2780e+05 7.4470e+05 4.4400e+05 6.1540e+05 4.7420e+05 5.6900e+05 5.1710e+05 5.1540e+05 6.4960e+05 3.8800e+05 7.4470e+05 3.2780e+05
4.0000 4.5000 4.7760e+05 2.8972e+05 7.0103e+05 3.0630e+05 6.8270e+05 4.1020e+05 5.5790e+05 4.4000e+05 5.1510e+05 4.8010e+05 4.6790e+05 5.9360e+05 3.5510e+05 6.8270e+05 3.0630e+05
4.5000 5.0000 4.2830e+05 2.6700e+05 6.2705e+05 2.8030e+05 6.1300e+05 3.7120e+05 4.9560e+05 3.9910e+05 4.5760e+05 4.3670e+05 4.1610e+05 5.3100e+05 3.1830e+05 6.1300e+05 2.8030e+05
5.0000 5.5000 3.7840e+05 2.4198e+05 5.5247e+05 2.5260e+05 5.4180e+05 3.3070e+05 4.3400e+05 3.5580e+05 4.0100e+05 3.9110e+05 3.6460e+05 4.6740e+05 2.8110e+05 5.4180e+05 2.5260e+05
5.5000 6.0000 3.3060e+05 2.1657e+05 4.8131e+05 2.2500e+05 4.7320e+05 2.9130e+05 3.7610e+05 3.1310e+05 3.4820e+05 3.4620e+05 3.1600e+05 4.0660e+05 2.4570e+05 4.7320e+05 2.2500e+05
6.0000 6.5000 2.8670e+05 1.9198e+05 4.1596e+05 1.9870e+05 4.0980e+05 2.5440e+05 3.2370e+05 2.7310e+05 3.0030e+05 3.0380e+05 2.7200e+05 3.5090e+05 2.1330e+05 4.0980e+05 1.9870e+05
6.5000 7.0000 2.4740e+05 1.6877e+05 3.5750e+05 1.7410e+05 3.5280e+05 2.2100e+05 2.7740e+05 2.3680e+05 2.5800e+05 2.6470e+05 2.3310e+05 3.0120e+05 1.8430e+05 3.5280e+05 1.7410e+05
7.0000 7.5000 2.1280e+05 1.4783e+05 3.0633e+05 1.5210e+05 3.0270e+05 1.9120e+05 2.3720e+05 2.0440e+05 2.2120e+05 2.2960e+05 1.9930e+05 2.5760e+05 1.5880e+05 3.0270e+05 1.5210e+05
7.5000 8.0000 1.8280e+05 1.2963e+05 2.6190e+05 1.3310e+05 2.5910e+05 1.6510e+05 2.0260e+05 1.7620e+05 1.8940e+05 1.9960e+05 1.7030e+05 2.2010e+05 1.3670e+05 2.5910e+05 1.3310e+05
8.0000 8.5000 1.5700e+05 1.1375e+05 2.2388e+05 1.1660e+05 2.2170e+05 1.4250e+05 1.7310e+05 1.5170e+05 1.6230e+05 1.7350e+05 1.4550e+05 1.8790e+05 1.1770e+05 2.2170e+05 1.1660e+05
8.5000 9.0000 1.3490e+05 9.9057e+04 1.9142e+05 1.0140e+05 1.8970e+05 1.2290e+05 1.4810e+05 1.3060e+05 1.3910e+05 1.5000e+05 1.2450e+05 1.6050e+05 1.0140e+05 1.8970e+05 1.0140e+05
9.0000 9.5000 1.1600e+05 8.5613e+04 1.6389e+05 8.7450e+04 1.6250e+05 1.0620e+05 1.2690e+05 1.1250e+05 1.1950e+05 1.2950e+05 1.0660e+05 1.3730e+05 8.7450e+04 1.6250e+05 8.8120e+04
9.5000 10.0000 9.9930e+04 7.4096e+04 1.4050e+05 7.5570e+04 1.3940e+05 9.1800e+04 1.0890e+05 9.7120e+04 1.0270e+05 1.1210e+05 9.1570e+04 1.1770e+05 7.5570e+04 1.3940e+05 7.6770e+04
10.0000 10.5000 8.6260e+04 6.4239e+04 1.2059e+05 6.5430e+04 1.1970e+05 7.9500e+04 9.3670e+04 8.3950e+04 8.8560e+04 9.7210e+04 7.8800e+04 1.0110e+05 6.5430e+04 1.1970e+05 6.6950e+04
10.5000 11.5000 1.3930e+05 1.0433e+05 1.9331e+05 1.0610e+05 1.9200e+05 1.2890e+05 1.5060e+05 1.3580e+05 1.4280e+05 1.5770e+05 1.2680e+05 1.6200e+05 1.0610e+05 1.9200e+05 1.0950e+05
11.5000 12.5000 1.0520e+05 7.9480e+04 1.4458e+05 8.0670e+04 1.4370e+05 9.7850e+04 1.1310e+05 1.0280e+05 1.0760e+05 1.1950e+05 9.5330e+04 1.2120e+05 8.0670e+04 1.4370e+05 8.3960e+04
12.5000 14.0000 1.1300e+05 8.6204e+04 1.5343e+05 8.7330e+04 1.5260e+05 1.0570e+05 1.2080e+05 1.1060e+05 1.1530e+05 1.2890e+05 1.0200e+05 1.2890e+05 8.7330e+04 1.5260e+05 9.1790e+04
14.0000 16.5000 1.1420e+05 8.8393e+04 1.5241e+05 8.9340e+04 1.5170e+05 1.0760e+05 1.2120e+05 1.1210e+05 1.1630e+05 1.3100e+05 1.0270e+05 1.2850e+05 8.9340e+04 1.5170e+05 9.5080e+04
16.5000 23.5000 1.1770e+05 9.3436e+04 1.5226e+05 9.4160e+04 1.5170e+05 1.1210e+05 1.2360e+05 1.1590e+05 1.1960e+05 1.3550e+05 1.0560e+05 1.2960e+05 9.4160e+04 1.5170e+05 1.0180e+05
23.5000 40.0000 4.0360e+04 3.3330e+04 4.9620e+04 3.3470e+04 4.9510e+04 3.9070e+04 4.1680e+04 3.9820e+04 4.0900e+04 4.6200e+04 3.6240e+04 4.3100e+04 3.3470e+04 4.9510e+04 3.6710e+04
