# FONLL heavy quark hadroproduction cross section, calculated on Fri Aug 22 16:33:28 CEST 2025
# FONLL version and perturbative order: ## FONLL v1.3.4 fonll [ds/dpt^2dy (pb/GeV^2)]
# quark = bottom
# final state = meson. NP params (cm,lm,hm) = 24.2, 26.7, 22.2
# BR(q->meson) = 0.405
# ebeam1 = 6500, ebeam2 = 6500
# PDF set = NNPDF30_nlo_as_0118
# ptmin = 0
# ptmax = 0.5
# ymin  = 4.0
# ymax  = 4.5
# Uncertainties from scales, masses, PDFs combined quadratically
# cross section is sigma (pb)
ptmin ptmax central min max min_sc max_sc min_mass max_mass min_pdf max_pdf fr=.5.5 fr=22 fr=21 fr=12 fr=1.5 fr=.51
0.0000 0.5000 7.3650e+04 3.2992e+04 1.2326e+05 4.4130e+04 1.1240e+05 5.8260e+04 9.4080e+04 5.0310e+04 9.6940e+04 7.3660e+04 7.1070e+04 9.3550e+04 5.2560e+04 1.1240e+05 4.4130e+04
0.5000 1.0000 2.0490e+05 9.4155e+04 3.3820e+05 1.2450e+05 3.0820e+05 1.6270e+05 2.6050e+05 1.4150e+05 2.6820e+05 2.0610e+05 1.9790e+05 2.5710e+05 1.4750e+05 3.0820e+05 1.2450e+05
1.0000 1.5000 3.0560e+05 1.4514e+05 4.9612e+05 1.8880e+05 4.5260e+05 2.4450e+05 3.8530e+05 2.1410e+05 3.9690e+05 3.0900e+05 2.9560e+05 3.7980e+05 2.2210e+05 4.5260e+05 1.8880e+05
1.5000 2.0000 3.6980e+05 1.8299e+05 5.8958e+05 2.3260e+05 5.3990e+05 2.9860e+05 4.6150e+05 2.6490e+05 4.7450e+05 3.7610e+05 3.5790e+05 4.5580e+05 2.7110e+05 5.3990e+05 2.3260e+05
2.0000 2.5000 3.9950e+05 2.0715e+05 6.2586e+05 2.5590e+05 5.7720e+05 3.2590e+05 4.9310e+05 2.9480e+05 5.0390e+05 4.0930e+05 3.8620e+05 4.8950e+05 2.9480e+05 5.7720e+05 2.5590e+05
2.5000 3.0000 4.0120e+05 2.1845e+05 6.1893e+05 2.6170e+05 5.7630e+05 3.3070e+05 4.8960e+05 3.0650e+05 4.9570e+05 4.1450e+05 3.8650e+05 4.8970e+05 2.9720e+05 5.7630e+05 2.6170e+05
3.0000 3.5000 3.8270e+05 2.1834e+05 5.8287e+05 2.5400e+05 5.4850e+05 3.1880e+05 4.6170e+05 3.0290e+05 4.6230e+05 3.9930e+05 3.6660e+05 4.6590e+05 2.8390e+05 5.4850e+05 2.5400e+05
3.5000 4.0000 3.5150e+05 2.0944e+05 5.2979e+05 2.3740e+05 5.0360e+05 2.9590e+05 4.1920e+05 2.8770e+05 4.1530e+05 3.7070e+05 3.3450e+05 4.2680e+05 2.6090e+05 5.0360e+05 2.3740e+05
4.0000 4.5000 3.1380e+05 1.9437e+05 4.6924e+05 2.1560e+05 4.5000e+05 2.6690e+05 3.7020e+05 2.6460e+05 3.6310e+05 3.3490e+05 2.9640e+05 3.8010e+05 2.3290e+05 4.5000e+05 2.1560e+05
4.5000 5.0000 2.7440e+05 1.7600e+05 4.0753e+05 1.9180e+05 3.9370e+05 2.3570e+05 3.2040e+05 2.3750e+05 3.1150e+05 2.9630e+05 2.5730e+05 3.3130e+05 2.0360e+05 3.9370e+05 1.9180e+05
5.0000 5.5000 2.3640e+05 1.5627e+05 3.4892e+05 1.6800e+05 3.3910e+05 2.0490e+05 2.7330e+05 2.0900e+05 2.6380e+05 2.5810e+05 2.2000e+05 2.8430e+05 1.7540e+05 3.3910e+05 1.6800e+05
5.5000 6.0000 2.0150e+05 1.3689e+05 2.9578e+05 1.4560e+05 2.8880e+05 1.7610e+05 2.3090e+05 1.8140e+05 2.2160e+05 2.2240e+05 1.8610e+05 2.4120e+05 1.4960e+05 2.8880e+05 1.4560e+05
6.0000 6.5000 1.7050e+05 1.1861e+05 2.4899e+05 1.2510e+05 2.4400e+05 1.5020e+05 1.9380e+05 1.5570e+05 1.8520e+05 1.9010e+05 1.5650e+05 2.0310e+05 1.2670e+05 2.4400e+05 1.2510e+05
6.5000 7.0000 1.4360e+05 1.0197e+05 2.0863e+05 1.0680e+05 2.0500e+05 1.2740e+05 1.6210e+05 1.3280e+05 1.5440e+05 1.6140e+05 1.3100e+05 1.7020e+05 1.0690e+05 2.0500e+05 1.0680e+05
7.0000 7.5000 1.2060e+05 8.6420e+04 1.7447e+05 8.9950e+04 1.7180e+05 1.0770e+05 1.3530e+05 1.1270e+05 1.2860e+05 1.3650e+05 1.0950e+05 1.4220e+05 8.9950e+04 1.7180e+05 9.0860e+04
7.5000 8.0000 1.0130e+05 7.3001e+04 1.4565e+05 7.5660e+04 1.4370e+05 9.0900e+04 1.1290e+05 9.5360e+04 1.0720e+05 1.1570e+05 9.1410e+04 1.1870e+05 7.5660e+04 1.4370e+05 7.7520e+04
8.0000 8.5000 8.4990e+04 6.1681e+04 1.2168e+05 6.3660e+04 1.2020e+05 7.6690e+04 9.4300e+04 8.0580e+04 8.9410e+04 9.8150e+04 7.6390e+04 9.9110e+04 6.3660e+04 1.2020e+05 6.6210e+04
8.5000 9.0000 7.1400e+04 5.2117e+04 1.0172e+05 5.3620e+04 1.0060e+05 6.4720e+04 7.8850e+04 6.8070e+04 7.4730e+04 8.2860e+04 6.3920e+04 8.2820e+04 5.3620e+04 1.0060e+05 5.6230e+04
9.0000 9.5000 6.0070e+04 4.4088e+04 8.5129e+04 4.5240e+04 8.4270e+04 5.4680e+04 6.6060e+04 5.7530e+04 6.2610e+04 6.9950e+04 5.3590e+04 6.9330e+04 4.5240e+04 8.4270e+04 4.7740e+04
9.5000 10.0000 5.0640e+04 3.7357e+04 7.1407e+04 3.8250e+04 7.0740e+04 4.6270e+04 5.5480e+04 4.8680e+04 5.2600e+04 5.9210e+04 4.5040e+04 5.8150e+04 3.8250e+04 7.0740e+04 4.0650e+04
10.0000 10.5000 4.2790e+04 3.1710e+04 6.0031e+04 3.2410e+04 5.9510e+04 3.9230e+04 4.6710e+04 4.1260e+04 4.4310e+04 5.0200e+04 3.7950e+04 4.8900e+04 3.2410e+04 5.9510e+04 3.4660e+04
10.5000 11.5000 6.6990e+04 4.9968e+04 9.3320e+04 5.0960e+04 9.2580e+04 6.1690e+04 7.2800e+04 6.4820e+04 6.9150e+04 7.8860e+04 5.9230e+04 7.6050e+04 5.0960e+04 9.2580e+04 5.4900e+04
11.5000 12.5000 4.8520e+04 3.6513e+04 6.6936e+04 3.7150e+04 6.6460e+04 4.4920e+04 5.2440e+04 4.7130e+04 4.9910e+04 5.7300e+04 4.2740e+04 5.4620e+04 3.7150e+04 6.6460e+04 4.0310e+04
12.5000 14.0000 4.9590e+04 3.7686e+04 6.7628e+04 3.8260e+04 6.7200e+04 4.6170e+04 5.3280e+04 4.8310e+04 5.0870e+04 5.8770e+04 4.3540e+04 5.5300e+04 3.8260e+04 6.7200e+04 4.1870e+04
14.0000 16.5000 4.6480e+04 3.5785e+04 6.2392e+04 3.6240e+04 6.2050e+04 4.3600e+04 4.9570e+04 4.5370e+04 4.7590e+04 5.5260e+04 4.0700e+04 5.1210e+04 3.6240e+04 6.2050e+04 4.0080e+04
16.5000 23.5000 4.1240e+04 3.2496e+04 5.3786e+04 3.2810e+04 5.3550e+04 3.9120e+04 4.3470e+04 4.0290e+04 4.2190e+04 4.9110e+04 3.6000e+04 4.4540e+04 3.2810e+04 5.3550e+04 3.6760e+04
23.5000 40.0000 1.0290e+04 8.3881e+03 1.2839e+04 8.4540e+03 1.2790e+04 9.9240e+03 1.0660e+04 9.9550e+03 1.0620e+04 1.2190e+04 8.9630e+03 1.0790e+04 8.4540e+03 1.2790e+04 9.6050e+03
# CTEQ6.6
# 0.0000 0.5000 2.6130e+07 1.5132e+07 3.8052e+07 1.6110e+07 3.6960e+07 2.2860e+07 3.0010e+07 2.2990e+07 2.9260e+07 2.4810e+07 2.6180e+07 3.2920e+07 1.9570e+07 3.6960e+07 1.6110e+07
# 0.5000 1.0000 2.1370e+05 1.0771e+05 3.3676e+05 1.1940e+05 3.2070e+05 1.7010e+05 2.7070e+05 1.9270e+05 2.3480e+05 1.9950e+05 2.1030e+05 2.7360e+05 1.5410e+05 3.2070e+05 1.1940e+05
# 1.0000 1.5000 3.1900e+05 1.6529e+05 4.9481e+05 1.8240e+05 4.7140e+05 2.5570e+05 4.0100e+05 2.8800e+05 3.5000e+05 3.0120e+05 3.1410e+05 4.0410e+05 2.3220e+05 4.7140e+05 1.8240e+05
# 1.5000 2.0000 3.8620e+05 2.0658e+05 5.8992e+05 2.2670e+05 5.6280e+05 3.1220e+05 4.8090e+05 3.4950e+05 4.2290e+05 3.6970e+05 3.8010e+05 4.8470e+05 2.8340e+05 5.6280e+05 2.2670e+05
# 2.0000 2.5000 4.1730e+05 2.3098e+05 6.2943e+05 2.5190e+05 6.0200e+05 3.4060e+05 5.1430e+05 3.7890e+05 4.5570e+05 4.0570e+05 4.0950e+05 5.2000e+05 3.0820e+05 6.0200e+05 2.5190e+05
# 2.5000 3.0000 4.1890e+05 2.4003e+05 6.2609e+05 2.6010e+05 6.0090e+05 3.4540e+05 5.1070e+05 3.8180e+05 4.5600e+05 4.1440e+05 4.0900e+05 5.1910e+05 3.1050e+05 6.0090e+05 2.6010e+05
# 3.0000 3.5000 3.9930e+05 2.3666e+05 5.9302e+05 2.5480e+05 5.7150e+05 3.3270e+05 4.8140e+05 3.6560e+05 4.3300e+05 4.0220e+05 3.8690e+05 4.9240e+05 2.9640e+05 5.7150e+05 2.5480e+05
# 3.5000 4.0000 3.6640e+05 2.2412e+05 5.4184e+05 2.3980e+05 5.2440e+05 3.0850e+05 4.3680e+05 3.3700e+05 3.9570e+05 3.7560e+05 3.5180e+05 4.4970e+05 2.7210e+05 5.2440e+05 2.3980e+05
# 4.0000 4.5000 3.2670e+05 2.0598e+05 4.8158e+05 2.1910e+05 4.6790e+05 2.7790e+05 3.8530e+05 3.0190e+05 3.5150e+05 3.4080e+05 3.1080e+05 3.9900e+05 2.4260e+05 4.6790e+05 2.1910e+05
# 4.5000 5.0000 2.8510e+05 1.8498e+05 4.1907e+05 1.9570e+05 4.0860e+05 2.4490e+05 3.3280e+05 2.6470e+05 3.0560e+05 3.0240e+05 2.6870e+05 3.4650e+05 2.1170e+05 4.0860e+05 1.9570e+05
# 5.0000 5.5000 2.4500e+05 1.6326e+05 3.5902e+05 1.7190e+05 3.5110e+05 2.1240e+05 2.8330e+05 2.2840e+05 2.6160e+05 2.6400e+05 2.2890e+05 2.9610e+05 1.8200e+05 3.5110e+05 1.7190e+05
# 5.5000 6.0000 2.0830e+05 1.4230e+05 3.0413e+05 1.4920e+05 2.9820e+05 1.8210e+05 2.3870e+05 1.9500e+05 2.2160e+05 2.2780e+05 1.9300e+05 2.5030e+05 1.5470e+05 2.9820e+05 1.4920e+05
# 6.0000 6.5000 1.7580e+05 1.2286e+05 2.5573e+05 1.2840e+05 2.5130e+05 1.5480e+05 1.9980e+05 1.6510e+05 1.8640e+05 1.9480e+05 1.6160e+05 2.0990e+05 1.3070e+05 2.5130e+05 1.2840e+05
# 6.5000 7.0000 1.4760e+05 1.0538e+05 2.1395e+05 1.0970e+05 2.1060e+05 1.3100e+05 1.6660e+05 1.3920e+05 1.5610e+05 1.6550e+05 1.3480e+05 1.7530e+05 1.0990e+05 2.1060e+05 1.0970e+05
# 7.0000 7.5000 1.2370e+05 8.8901e+04 1.7852e+05 9.2270e+04 1.7600e+05 1.1040e+05 1.3870e+05 1.1690e+05 1.3040e+05 1.4000e+05 1.1230e+05 1.4600e+05 9.2270e+04 1.7600e+05 9.3390e+04
# 7.5000 8.0000 1.0350e+05 7.4837e+04 1.4873e+05 7.7390e+04 1.4680e+05 9.2960e+04 1.1540e+05 9.8140e+04 1.0890e+05 1.1820e+05 9.3510e+04 1.2150e+05 7.7390e+04 1.4680e+05 7.9330e+04
# 8.0000 8.5000 8.6680e+04 6.2968e+04 1.2398e+05 6.4950e+04 1.2250e+05 7.8230e+04 9.6140e+04 8.2360e+04 9.0990e+04 9.9650e+04 7.7940e+04 1.0120e+05 6.4950e+04 1.2250e+05 6.7300e+04
# 8.5000 9.0000 7.2650e+04 5.3039e+04 1.0344e+05 5.4580e+04 1.0230e+05 6.5870e+04 8.0200e+04 6.9170e+04 7.6130e+04 8.3930e+04 6.5060e+04 8.4350e+04 5.4580e+04 1.0230e+05 5.7010e+04
# 9.0000 9.5000 6.0990e+04 4.4741e+04 8.6406e+04 4.5950e+04 8.5510e+04 5.5530e+04 6.7050e+04 5.8160e+04 6.3820e+04 7.0740e+04 5.4430e+04 7.0440e+04 4.5950e+04 8.5510e+04 4.8330e+04
# 9.5000 10.0000 5.1310e+04 3.7818e+04 7.2355e+04 3.8770e+04 7.1650e+04 4.6900e+04 5.6190e+04 4.9000e+04 5.3630e+04 5.9750e+04 4.5660e+04 5.8970e+04 3.8770e+04 7.1650e+04 4.1060e+04
# 10.0000 10.5000 4.3280e+04 3.2029e+04 6.0731e+04 3.2790e+04 6.0170e+04 3.9690e+04 4.7230e+04 4.1370e+04 4.5190e+04 5.0560e+04 3.8410e+04 4.9500e+04 3.2790e+04 6.0170e+04 3.4940e+04
# 10.5000 11.5000 6.7620e+04 5.0356e+04 9.4222e+04 5.1460e+04 9.3410e+04 6.2300e+04 7.3440e+04 6.4690e+04 7.0560e+04 7.9290e+04 5.9820e+04 7.6840e+04 5.1460e+04 9.3410e+04 5.5240e+04
# 11.5000 12.5000 4.8860e+04 3.6678e+04 6.7458e+04 3.7410e+04 6.6920e+04 4.5270e+04 5.2770e+04 4.6760e+04 5.0970e+04 5.7510e+04 4.3080e+04 5.5080e+04 3.7410e+04 6.6920e+04 4.0500e+04
# 12.5000 14.0000 4.9840e+04 3.7753e+04 6.8062e+04 3.8450e+04 6.7550e+04 4.6440e+04 5.3520e+04 4.7650e+04 5.2040e+04 5.8880e+04 4.3820e+04 5.5680e+04 3.8450e+04 6.7550e+04 4.1970e+04
# 14.0000 16.5000 4.6690e+04 3.5784e+04 6.2764e+04 3.6410e+04 6.2310e+04 4.3820e+04 4.9760e+04 4.4450e+04 4.8920e+04 5.5300e+04 4.0930e+04 5.1520e+04 3.6410e+04 6.2310e+04 4.0130e+04
# 16.5000 23.5000 4.1580e+04 3.2455e+04 5.4454e+04 3.3080e+04 5.4000e+04 3.9480e+04 4.3800e+04 3.9010e+04 4.4140e+04 4.9320e+04 3.6370e+04 4.5000e+04 3.3080e+04 5.4000e+04 3.6930e+04
# 23.5000 40.0000 1.0600e+04 8.3833e+03 1.3416e+04 8.7190e+03 1.3160e+04 1.0230e+04 1.0980e+04 9.4870e+03 1.1710e+04 1.2510e+04 9.2640e+03 1.1140e+04 8.7190e+03 1.3160e+04 9.8610e+03
